# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/HT Rivet_ATLASH_FULL_HThalf.yoda/ATLAS_histo/HT
RatioPlotReference=johannes.yoda/ATLAS_histo/HT
RatioPlot=1
LogY=1
XLabel=$\mathrm{H}_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dH}_{\mathrm{T}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/HT
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/HT
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.800000e+02	2.877909e-05	3.044359e-07	3.044359e-07
1.800000e+02	2.400000e+02	8.355337e-04	2.079268e-06	2.079268e-06
2.400000e+02	3.000000e+02	3.261888e-03	4.097423e-06	4.097423e-06
3.000000e+02	3.600000e+02	3.372479e-03	4.035493e-06	4.035493e-06
3.600000e+02	4.200000e+02	1.611369e-03	2.730253e-06	2.730253e-06
4.200000e+02	4.800000e+02	7.367024e-04	1.896367e-06	1.896367e-06
4.800000e+02	5.400000e+02	3.608114e-04	1.260568e-06	1.260568e-06
5.400000e+02	6.000000e+02	1.866069e-04	9.047279e-07	9.047279e-07
6.000000e+02	6.600000e+02	1.011852e-04	6.822331e-07	6.822331e-07
6.600000e+02	7.200000e+02	5.723466e-05	5.262954e-07	5.262954e-07
7.200000e+02	7.800000e+02	3.345653e-05	4.228037e-07	4.228037e-07
7.800000e+02	8.400000e+02	1.985001e-05	3.291067e-07	3.291067e-07
8.400000e+02	9.000000e+02	1.215201e-05	2.606676e-07	2.606676e-07
9.000000e+02	9.600000e+02	7.462003e-06	2.056276e-07	2.056276e-07
9.600000e+02	1.020000e+03	4.923449e-06	1.753454e-07	1.753454e-07
1.020000e+03	1.080000e+03	3.217525e-06	1.423073e-07	1.423073e-07
1.080000e+03	1.140000e+03	2.077370e-06	1.036991e-07	1.036991e-07
1.140000e+03	1.200000e+03	1.373649e-06	8.316212e-08	8.316212e-08
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_FULL_HThalf.yoda/ATLAS_histo/HT
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_FULL_HThalf.yoda/ATLAS_histo/HT
ScaledBy=0.00010472336473390641
Title=Rivet_ATLASH_FULL_HThalf
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.800000e+02	1.579762e-03	2.643236e-05	2.643236e-05
1.800000e+02	2.400000e+02	2.831808e-03	3.538930e-05	3.538930e-05
2.400000e+02	3.000000e+02	3.386405e-03	3.869987e-05	3.869987e-05
3.000000e+02	3.600000e+02	3.008270e-03	3.647527e-05	3.647527e-05
3.600000e+02	4.200000e+02	2.147185e-03	3.081590e-05	3.081590e-05
4.200000e+02	4.800000e+02	1.369687e-03	2.461222e-05	2.461222e-05
4.800000e+02	5.400000e+02	9.035425e-04	1.999007e-05	1.999007e-05
5.400000e+02	6.000000e+02	5.488478e-04	1.557995e-05	1.557995e-05
6.000000e+02	6.600000e+02	3.038345e-04	1.159201e-05	1.159201e-05
6.600000e+02	7.200000e+02	2.065367e-04	9.557376e-06	9.557376e-06
7.200000e+02	7.800000e+02	1.291407e-04	7.557386e-06	7.557386e-06
7.800000e+02	8.400000e+02	8.491442e-05	6.128170e-06	6.128170e-06
8.400000e+02	9.000000e+02	5.705188e-05	5.023138e-06	5.023138e-06
9.000000e+02	9.600000e+02	3.228517e-05	3.778694e-06	3.778694e-06
9.600000e+02	1.020000e+03	2.653575e-05	3.425751e-06	3.425751e-06
1.020000e+03	1.080000e+03	1.857503e-05	2.866189e-06	2.866189e-06
1.080000e+03	1.140000e+03	8.845252e-06	1.977859e-06	1.977859e-06
1.140000e+03	1.200000e+03	5.307152e-06	1.532043e-06	1.532043e-06
# END HISTO1D

