# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/Pt1
YLabel=$\mathrm{d}\sigma/\mathrm{dp}_{\mathrm{T}}$ [pb]
XLabel=$1^\mathrm{st}$ jet $\mathrm{p}_\mathrm{T}$ [GeV]
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/Pt1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/Pt1
ScaledBy=0.0089026285635543014
Title=Rivet
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	4.500000e+01	2.360131e-03	1.287557e-04	1.287557e-04
4.500000e+01	6.000000e+01	8.021633e-03	2.373722e-04	2.373722e-04
6.000000e+01	7.500000e+01	1.088048e-02	2.764537e-04	2.764537e-04
7.500000e+01	9.000000e+01	1.090858e-02	2.768105e-04	2.768105e-04
9.000000e+01	1.050000e+02	9.370280e-03	2.565516e-04	2.565516e-04
1.050000e+02	1.200000e+02	7.410527e-03	2.281513e-04	2.281513e-04
1.200000e+02	1.350000e+02	5.085519e-03	1.890018e-04	1.890018e-04
1.350000e+02	1.500000e+02	3.891406e-03	1.653300e-04	1.653300e-04
1.500000e+02	1.650000e+02	2.219647e-03	1.248649e-04	1.248649e-04
1.650000e+02	1.800000e+02	1.847364e-03	1.139134e-04	1.139134e-04
1.800000e+02	1.950000e+02	1.271380e-03	9.450093e-05	9.450093e-05
1.950000e+02	2.100000e+02	9.061213e-04	7.977956e-05	7.977956e-05
2.100000e+02	2.250000e+02	5.900327e-04	6.437784e-05	6.437784e-05
2.250000e+02	2.400000e+02	4.635971e-04	5.706486e-05	5.706486e-05
2.400000e+02	2.550000e+02	3.933551e-04	5.256429e-05	5.256429e-05
2.550000e+02	2.700000e+02	2.247743e-04	3.973487e-05	3.973487e-05
2.700000e+02	2.850000e+02	2.247743e-04	3.973487e-05	3.973487e-05
2.850000e+02	3.000000e+02	9.131460e-05	2.532610e-05	2.532610e-05
# END HISTO1D

